u,v,cn,rai,jc,aai,pa,ccn,cra,wic,label,pos_split
DB00011,DB00038,0,0.0,0.0,0.0,3,0,0.0,0.0,0,
DB00011,DB00035,0,0.0,0.0,0.0,12,0,0.0,0.0,1,test
DB00011,DB00012,1,0.2,0.2,0.6213349345596119,9,2,0.2,1000.0,0,
DB00011,DB00018,1,0.14285714285714285,0.1,0.5138983423697507,24,1,0.0,0.0,0,
DB00011,DB00034,1,0.14285714285714285,0.125,0.5138983423697507,18,1,0.0,0.0,0,
DB00011,DB00036,0,0.0,0.0,0.0,6,0,0.0,0.0,0,
DB00011,DB00037,0,0.0,0.0,0.0,9,0,0.0,0.0,0,
DB00014,DB00021,0,0.0,0.0,0.0,15,0,0.0,0.0,1,test
DB00014,DB00025,2,0.5,0.3333333333333333,1.4683498531780845,15,4,0.5,2000.0,0,
DB00014,DB00028,1,0.16666666666666666,0.2,0.5581106265512472,9,1,0.0,0.0,0,
DB00014,DB00029,1,0.16666666666666666,0.16666666666666666,0.5581106265512472,12,1,0.0,0.0,0,
DB00014,DB00002,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00014,DB00005,1,0.125,0.1111111111111111,0.48089834696298783,21,1,0.0,0.0,0,
DB00014,DB00008,0,0.0,0.0,0.0,9,0,0.0,0.0,0,
DB00014,DB00010,0,0.0,0.0,0.0,12,0,0.0,0.0,1,test
DB00014,DB00020,0,0.0,0.0,0.0,21,0,0.0,0.0,0,
DB00014,DB00022,0,0.0,0.0,0.0,6,0,0.0,0.0,0,
DB00014,DB00031,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00014,DB00015,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00014,DB00016,0,0.0,0.0,0.0,24,0,0.0,0.0,1,train
DB00014,DB00017,0,0.0,0.0,0.0,9,0,0.0,0.0,0,
DB00014,DB00027,0,0.0,0.0,0.0,6,0,0.0,0.0,0,
DB00014,DB00033,1,0.3333333333333333,0.16666666666666666,0.9102392266268373,12,1,0.0,0.0,0,
DB00014,DB00040,0,0.0,0.0,0.0,18,0,0.0,0.0,0,
DB00014,DB00004,0,0.0,0.0,0.0,18,0,0.0,0.0,0,
DB00014,DB00030,0,0.0,0.0,0.0,18,0,0.0,0.0,0,
DB00014,DB00032,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00014,DB00039,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00014,DB00006,0,0.0,0.0,0.0,6,0,0.0,0.0,0,
DB00014,DB00019,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00014,DB00007,0,0.0,0.0,0.0,9,0,0.0,0.0,0,
DB00014,DB00013,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00014,DB00024,0,0.0,0.0,0.0,9,0,0.0,0.0,0,
DB00014,DB00026,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00014,DB00023,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00014,DB00038,1,0.125,0.3333333333333333,0.48089834696298783,3,1,0.0,0.0,0,
DB00014,DB00035,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00014,DB00012,0,0.0,0.0,0.0,9,0,0.0,0.0,1,train
DB00014,DB00018,1,0.125,0.1,0.48089834696298783,24,1,0.0,0.0,1,test
DB00014,DB00034,1,0.125,0.125,0.48089834696298783,18,1,0.0,0.0,0,
DB00014,DB00036,1,0.125,0.25,0.48089834696298783,6,1,0.0,0.0,0,
DB00014,DB00037,0,0.0,0.0,0.0,9,0,0.0,0.0,0,
DB00021,DB00025,1,0.14285714285714285,0.1111111111111111,0.5138983423697507,25,1,0.0,0.0,0,
DB00021,DB00028,1,0.125,0.14285714285714285,0.48089834696298783,15,1,0.0,0.0,0,
DB00021,DB00029,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00021,DB00002,1,0.14285714285714285,0.125,0.5138983423697507,20,1,0.0,0.0,0,
DB00021,DB00005,0,0.0,0.0,0.0,35,0,0.0,0.0,1,train
DB00021,DB00008,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00021,DB00010,1,0.14285714285714285,0.125,0.5138983423697507,20,1,0.0,0.0,0,
DB00021,DB00020,2,0.29166666666666663,0.2,1.039008973514235,35,2,0.0,0.0,0,
DB00021,DB00022,0,0.0,0.0,0.0,10,0,0.0,0.0,0,
DB00021,DB00031,1,0.125,0.1111111111111111,0.48089834696298783,25,1,0.0,0.0,0,
DB00021,DB00015,1,0.16666666666666666,0.1111111111111111,0.5581106265512472,25,2,0.16666666666666666,1000.0,1,train
DB00021,DB00016,2,0.26785714285714285,0.18181818181818182,0.9947966893327386,40,2,0.0,0.0,0,
DB00021,DB00017,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00021,DB00027,0,0.0,0.0,0.0,10,0,0.0,0.0,0,
DB00021,DB00033,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00021,DB00040,0,0.0,0.0,0.0,30,0,0.0,0.0,1,train
DB00021,DB00004,2,0.3666666666666667,0.2222222222222222,1.179445561110859,30,4,0.3666666666666667,2000.0,0,
DB00021,DB00030,1,0.2,0.1,0.6213349345596119,30,2,0.2,1000.0,1,train
DB00021,DB00032,1,0.14285714285714285,0.125,0.5138983423697507,20,1,0.0,0.0,1,test
DB00021,DB00039,2,0.30952380952380953,0.25,1.072008968920998,25,2,0.0,0.0,0,
DB00021,DB00006,1,0.16666666666666666,0.16666666666666666,0.5581106265512472,10,1,0.0,0.0,0,
DB00021,DB00019,0,0.0,0.0,0.0,25,0,0.0,0.0,0,
DB00021,DB00007,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00021,DB00013,1,0.125,0.1111111111111111,0.48089834696298783,25,1,0.0,0.0,0,
DB00021,DB00024,1,0.16666666666666666,0.14285714285714285,0.5581106265512472,15,1,0.0,0.0,0,
DB00021,DB00026,1,0.2,0.125,0.6213349345596119,20,2,0.2,1000.0,0,
DB00021,DB00023,1,0.16666666666666666,0.125,0.5581106265512472,20,1,0.0,0.0,0,
DB00021,DB00038,0,0.0,0.0,0.0,5,0,0.0,0.0,0,
DB00021,DB00035,1,0.125,0.125,0.48089834696298783,20,1,0.0,0.0,0,
DB00021,DB00012,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00021,DB00018,0,0.0,0.0,0.0,40,0,0.0,0.0,1,train
DB00021,DB00034,2,0.29166666666666663,0.2222222222222222,1.039008973514235,30,2,0.0,0.0,0,
DB00021,DB00036,0,0.0,0.0,0.0,10,0,0.0,0.0,0,
DB00021,DB00037,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00025,DB00028,1,0.16666666666666666,0.14285714285714285,0.5581106265512472,15,1,0.0,0.0,0,
DB00025,DB00029,1,0.16666666666666666,0.125,0.5581106265512472,20,1,0.0,0.0,1,test
DB00025,DB00002,1,0.14285714285714285,0.125,0.5138983423697507,20,1,0.0,0.0,0,
DB00025,DB00005,0,0.0,0.0,0.0,35,0,0.0,0.0,1,train
DB00025,DB00008,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00025,DB00010,2,0.30952380952380953,0.2857142857142857,1.072008968920998,20,2,0.0,0.0,0,
DB00025,DB00020,1,0.3333333333333333,0.09090909090909091,0.9102392266268373,35,1,0.0,0.0,0,
DB00025,DB00022,1,0.16666666666666666,0.16666666666666666,0.5581106265512472,10,1,0.0,0.0,0,
DB00025,DB00031,0,0.0,0.0,0.0,25,0,0.0,0.0,0,
DB00025,DB00015,1,0.16666666666666666,0.1111111111111111,0.5581106265512472,25,1,0.0,0.0,0,
DB00025,DB00016,1,0.14285714285714285,0.08333333333333333,0.5138983423697507,40,1,0.0,0.0,0,
DB00025,DB00017,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00025,DB00027,1,0.16666666666666666,0.16666666666666666,0.5581106265512472,10,1,0.0,0.0,0,
DB00025,DB00033,1,0.3333333333333333,0.125,0.9102392266268373,20,1,0.0,0.0,0,
DB00025,DB00040,0,0.0,0.0,0.0,30,0,0.0,0.0,0,
DB00025,DB00004,0,0.0,0.0,0.0,30,0,0.0,0.0,1,train
DB00025,DB00030,1,0.16666666666666666,0.1,0.5581106265512472,30,1,0.0,0.0,0,
DB00025,DB00032,1,0.14285714285714285,0.125,0.5138983423697507,20,1,0.0,0.0,0,
DB00025,DB00039,1,0.14285714285714285,0.1111111111111111,0.5138983423697507,25,1,0.0,0.0,0,
DB00025,DB00006,0,0.0,0.0,0.0,10,0,0.0,0.0,1,test
DB00025,DB00019,0,0.0,0.0,0.0,25,0,0.0,0.0,0,
DB00025,DB00007,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00025,DB00013,0,0.0,0.0,0.0,25,0,0.0,0.0,0,
DB00025,DB00024,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00025,DB00026,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00025,DB00023,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00025,DB00038,0,0.0,0.0,0.0,5,0,0.0,0.0,0,
DB00025,DB00035,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00025,DB00012,0,0.0,0.0,0.0,15,0,0.0,0.0,1,train
DB00025,DB00018,0,0.0,0.0,0.0,40,0,0.0,0.0,0,
DB00025,DB00034,0,0.0,0.0,0.0,30,0,0.0,0.0,0,
DB00025,DB00036,0,0.0,0.0,0.0,10,0,0.0,0.0,0,
DB00025,DB00037,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00028,DB00029,1,0.16666666666666666,0.16666666666666666,0.5581106265512472,12,1,0.0,0.0,0,
DB00028,DB00002,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00028,DB00005,0,0.0,0.0,0.0,21,0,0.0,0.0,0,
DB00028,DB00008,0,0.0,0.0,0.0,9,0,0.0,0.0,0,
DB00028,DB00010,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00028,DB00020,1,0.125,0.1111111111111111,0.48089834696298783,21,2,0.125,1000.0,0,
DB00028,DB00022,0,0.0,0.0,0.0,6,0,0.0,0.0,0,
DB00028,DB00031,1,0.125,0.14285714285714285,0.48089834696298783,15,1,0.0,0.0,1,test
DB00028,DB00015,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00028,DB00016,2,0.625,0.2222222222222222,1.9235933878519513,24,4,0.625,2000.0,0,
DB00028,DB00017,0,0.0,0.0,0.0,9,0,0.0,0.0,0,
DB00028,DB00027,0,0.0,0.0,0.0,6,0,0.0,0.0,0,
DB00028,DB00033,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00028,DB00040,0,0.0,0.0,0.0,18,0,0.0,0.0,0,
DB00028,DB00004,0,0.0,0.0,0.0,18,0,0.0,0.0,0,
DB00028,DB00030,0,0.0,0.0,0.0,18,0,0.0,0.0,1,test
DB00028,DB00032,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00028,DB00039,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00028,DB00006,0,0.0,0.0,0.0,6,0,0.0,0.0,0,
DB00028,DB00019,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00028,DB00007,0,0.0,0.0,0.0,9,0,0.0,0.0,0,
DB00028,DB00013,1,0.125,0.14285714285714285,0.48089834696298783,15,1,0.0,0.0,0,
DB00028,DB00024,0,0.0,0.0,0.0,9,0,0.0,0.0,0,
DB00028,DB00026,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00028,DB00023,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00028,DB00038,0,0.0,0.0,0.0,3,0,0.0,0.0,0,
DB00028,DB00035,1,0.125,0.16666666666666666,0.48089834696298783,12,1,0.0,0.0,0,
DB00028,DB00012,0,0.0,0.0,0.0,9,0,0.0,0.0,0,
DB00028,DB00018,0,0.0,0.0,0.0,24,0,0.0,0.0,1,train
DB00028,DB00034,1,0.125,0.125,0.48089834696298783,18,2,0.125,1000.0,0,
DB00028,DB00036,0,0.0,0.0,0.0,6,0,0.0,0.0,1,train
DB00028,DB00037,0,0.0,0.0,0.0,9,0,0.0,0.0,0,
DB00029,DB00002,2,0.45,0.3333333333333333,1.3426824550040934,16,4,0.45,2000.0,0,
DB00029,DB00005,2,0.5,0.2222222222222222,1.4426950408889634,28,4,0.5,2000.0,0,
DB00029,DB00008,1,0.25,0.16666666666666666,0.7213475204444817,12,2,0.25,1000.0,0,
DB00029,DB00010,0,0.0,0.0,0.0,16,0,0.0,0.0,1,train
DB00029,DB00020,0,0.0,0.0,0.0,28,0,0.0,0.0,0,
DB00029,DB00022,0,0.0,0.0,0.0,8,0,0.0,0.0,0,
DB00029,DB00031,0,0.0,0.0,0.0,20,0,0.0,0.0,1,train
DB00029,DB00015,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00029,DB00016,0,0.0,0.0,0.0,32,0,0.0,0.0,0,
DB00029,DB00017,1,0.2,0.16666666666666666,0.6213349345596119,12,1,0.0,0.0,0,
DB00029,DB00027,0,0.0,0.0,0.0,8,0,0.0,0.0,0,
DB00029,DB00033,0,0.0,0.0,0.0,16,0,0.0,0.0,0,
DB00029,DB00040,0,0.0,0.0,0.0,24,0,0.0,0.0,0,
DB00029,DB00004,1,0.25,0.1111111111111111,0.7213475204444817,24,1,0.0,0.0,0,
DB00029,DB00030,0,0.0,0.0,0.0,24,0,0.0,0.0,0,
DB00029,DB00032,0,0.0,0.0,0.0,16,0,0.0,0.0,1,train
DB00029,DB00039,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00029,DB00006,0,0.0,0.0,0.0,8,0,0.0,0.0,1,test
DB00029,DB00019,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00029,DB00007,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00029,DB00013,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00029,DB00024,1,0.25,0.16666666666666666,0.7213475204444817,12,1,0.0,0.0,0,
DB00029,DB00026,0,0.0,0.0,0.0,16,0,0.0,0.0,0,
DB00029,DB00023,0,0.0,0.0,0.0,16,0,0.0,0.0,0,
DB00029,DB00038,0,0.0,0.0,0.0,4,0,0.0,0.0,0,
DB00029,DB00035,0,0.0,0.0,0.0,16,0,0.0,0.0,0,
DB00029,DB00012,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00029,DB00018,1,0.2,0.09090909090909091,0.6213349345596119,32,1,0.0,0.0,0,
DB00029,DB00034,0,0.0,0.0,0.0,24,0,0.0,0.0,0,
DB00029,DB00036,0,0.0,0.0,0.0,8,0,0.0,0.0,1,test
DB00029,DB00037,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00002,DB00005,1,0.25,0.1,0.7213475204444817,28,2,0.25,1000.0,1,train
DB00002,DB00008,0,0.0,0.0,0.0,12,0,0.0,0.0,1,train
DB00002,DB00010,1,0.14285714285714285,0.14285714285714285,0.5138983423697507,16,2,0.14285714285714285,1000.0,1,train
DB00002,DB00020,1,0.3333333333333333,0.1,0.9102392266268373,28,1,0.0,0.0,1,test
DB00002,DB00022,0,0.0,0.0,0.0,8,0,0.0,0.0,1,test
