drugbank_id,name,smiles,atc_codes,mesh_terms,side_effect_codes
DB00024,SampleDrug_24,C1CCN(CC1)CC(=O)NC2=C(C=CC(=C2)Cl)Cl,"['S', 'B']","['D000112', 'D000134', 'D000128']","['C0001027', 'C0001011', 'C0001017']"
DB00025,SampleDrug_25,CC(=O)OC1=CC=CC=C1C(=O)O,"['D', 'B']","['D000135', 'D000106', 'D000103', 'D000141', 'D000134']","['C0001005', 'C0001048']"
DB00026,SampleDrug_26,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,['C'],"['D000131', 'D000130', 'D000113', 'D000125', 'D000103']","['C0001024', 'C0001000', 'C0001016']"
DB00027,SampleDrug_27,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,"['G', 'J']","['D000109', 'D000112', 'D000118', 'D000113', 'D000103']","['C0001047', 'C0001034', 'C0001003', 'C0001020', 'C0001049', 'C0001045']"
DB00028,SampleDrug_28,CC(=O)NC1=CC=C(C=C1)O,"['L', 'M', 'S']","['D000103', 'D000132', 'D000105']","['C0001004', 'C0001038', 'C0001043']"
DB00029,SampleDrug_29,C1=CC=C(C=C1)C(C2=CC=CC=C2)OCCN(C)C,['J'],"['D000136', 'D000115']","['C0001038', 'C0001002', 'C0001039', 'C0001005', 'C0001026', 'C0001042']"
DB00030,SampleDrug_30,CN1CCC[C@H]1C2=CN=CC=C2,"['N', 'M', 'H']","['D000113', 'D000142', 'D000145', 'D000120']","['C0001016', 'C0001025', 'C0001008']"
DB00031,SampleDrug_31,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,"['P', 'G', 'L']","['D000148', 'D000104', 'D000100', 'D000129']","['C0001036', 'C0001006', 'C0001004', 'C0001034', 'C0001013', 'C0001032']"
DB00032,SampleDrug_32,C1CCN(CC1)CC(=O)NC2=C(C=CC(=C2)Cl)Cl,"['C', 'H']","['D000115', 'D000123']","['C0001010', 'C0001028', 'C0001034', 'C0001045']"
DB00033,SampleDrug_33,CC(=O)OC1=CC=CC=C1C(=O)O,"['N', 'S']","['D000142', 'D000135']","['C0001042', 'C0001006', 'C0001008', 'C0001016']"
DB00034,SampleDrug_34,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,['B'],"['D000117', 'D000118', 'D000138']","['C0001045', 'C0001021', 'C0001013']"
DB00035,SampleDrug_35,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,"['P', 'G', 'M']","['D000116', 'D000103', 'D000105', 'D000140', 'D000127']","['C0001002', 'C0001000', 'C0001021', 'C0001049']"
DB00036,SampleDrug_36,CC(=O)NC1=CC=C(C=C1)O,['P'],"['D000110', 'D000147', 'D000128', 'D000135']","['C0001035', 'C0001000', 'C0001007', 'C0001004', 'C0001044']"
DB00037,SampleDrug_37,C1=CC=C(C=C1)C(C2=CC=CC=C2)OCCN(C)C,['M'],"['D000123', 'D000137']","['C0001009', 'C0001027', 'C0001008', 'C0001002', 'C0001019', 'C0001023']"
DB00038,SampleDrug_38,CN1CCC[C@H]1C2=CN=CC=C2,['H'],"['D000143', 'D000115', 'D000142']","['C0001022', 'C0001049']"
DB00039,SampleDrug_39,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,"['V', 'J', 'N']","['D000115', 'D000110', 'D000111']","['C0001001', 'C0001011', 'C0001047', 'C0001021', 'C0001026']"
DB00040,SampleDrug_40,C1CCN(CC1)CC(=O)NC2=C(C=CC(=C2)Cl)Cl,"['V', 'R', 'D']","['D000110', 'D000144', 'D000106', 'D000124']","['C0001030', 'C0001014']"
