u,v,cn,rai,jc,aai,pa,ccn,cra,wic,label,pos_split,sim_atc,sim_mesh,sim_ade,sim_chemical
DB00001,DB00023,0,0.0,0.0,0.0,24,0,0.0,0.0,0,,0.0,0.0,0.0,0.16666667
DB00001,DB00038,0,0.0,0.0,0.0,6,0,0.0,0.0,0,,0.0,0.12618466,0.0,0.09090909
DB00001,DB00035,0,0.0,0.0,0.0,24,0,0.0,0.0,0,,0.0,0.0,0.0,0.19354838
DB00001,DB00012,2,0.5333333333333333,0.2857142857142857,1.531574161186449,18,4,0.5333333333333333,2000.0,0,,0.0,0.0,0.48269397,0.4347826
DB00001,DB00018,1,0.3333333333333333,0.0769230769230769,0.9102392266268372,48,1,0.0,0.0,0,,0.25704303,0.391936,0.0,0.44
DB00001,DB00034,0,0.0,0.0,0.0,36,0,0.0,0.0,0,,0.39532402,0.0,0.0,0.44
DB00001,DB00036,1,0.3333333333333333,0.1428571428571428,0.9102392266268372,12,1,0.0,0.0,0,,0.0,0.2661807,0.0,0.4347826
DB00001,DB00037,0,0.0,0.0,0.0,18,0,0.0,0.0,0,,0.0,0.0,0.0,0.21212122
DB00003,DB00009,1,0.125,0.125,0.4808983469629878,20,1,0.0,0.0,0,,0.0,0.3099773,0.15634346,0.19354838
DB00003,DB00011,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.0,0.0,0.24610294,1.0
DB00003,DB00014,1,0.125,0.1666666666666666,0.4808983469629878,12,1,0.0,0.0,0,,0.0,0.23279268,0.11702225,0.102564104
DB00003,DB00021,2,0.3666666666666667,0.2857142857142857,1.179445561110859,20,2,0.0,0.0,1,test,0.0,0.0,0.18475592,0.11904762
DB00003,DB00025,0,0.0,0.0,0.0,20,0,0.0,0.0,0,,0.0,0.27188736,0.0,0.19354838
DB00003,DB00028,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.5033927,0.0,0.0,0.14285715
DB00003,DB00029,0,0.0,0.0,0.0,16,0,0.0,0.0,0,,0.0,0.0,0.17992179,0.11904762
DB00003,DB00002,0,0.0,0.0,0.0,16,0,0.0,0.0,0,,0.0,0.0,0.18943916,0.13157895
DB00003,DB00005,1,0.125,0.1,0.4808983469629878,28,1,0.0,0.0,0,,0.0,0.0,0.0,0.11904762
DB00003,DB00008,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.0,0.0,0.0,0.20454545
DB00003,DB00010,0,0.0,0.0,0.0,16,0,0.0,0.0,0,,0.0,0.0,0.0,0.13157895
DB00003,DB00020,1,0.1666666666666666,0.1,0.5581106265512472,28,1,0.0,0.0,0,,0.0,0.0,0.23562503,0.14285715
DB00003,DB00022,0,0.0,0.0,0.0,8,0,0.0,0.0,0,,0.0,0.0,0.0,0.102564104
DB00003,DB00031,0,0.0,0.0,0.0,20,0,0.0,0.0,0,,0.0,0.0,0.0,0.08888889
DB00003,DB00015,0,0.0,0.0,0.0,20,0,0.0,0.0,1,train,0.6245361,0.0,0.0,0.08888889
DB00003,DB00016,0,0.0,0.0,0.0,32,0,0.0,0.0,1,train,0.0,0.0,0.0,0.20454545
DB00003,DB00017,0,0.0,0.0,0.0,12,0,0.0,0.0,1,test,0.0,0.0,0.0,0.19354838
DB00003,DB00027,0,0.0,0.0,0.0,8,0,0.0,0.0,1,test,0.0,0.0,0.0,1.0
DB00003,DB00033,0,0.0,0.0,0.0,16,0,0.0,0.0,1,train,0.0,0.0,0.0,0.19354838
DB00003,DB00040,0,0.0,0.0,0.0,24,0,0.0,0.0,1,train,0.0,0.31196213,0.16781344,0.20454545
DB00003,DB00004,1,0.2,0.1111111111111111,0.6213349345596119,24,1,0.0,0.0,0,,0.0,0.0,0.0,0.14285715
DB00003,DB00030,1,0.2,0.1111111111111111,0.6213349345596119,24,1,0.0,0.0,0,,0.5588908,0.23853241,0.0,0.102564104
DB00003,DB00032,0,0.0,0.0,0.0,16,0,0.0,0.0,0,,0.0,0.0,0.23704652,0.20454545
DB00003,DB00039,1,0.1666666666666666,0.125,0.5581106265512472,20,2,0.1666666666666666,1000.0,0,,0.0,0.0,0.17157117,0.08888889
DB00003,DB00006,1,0.1666666666666666,0.2,0.5581106265512472,8,2,0.1666666666666666,1000.0,0,,0.0,0.25174382,0.0,0.102564104
DB00003,DB00019,0,0.0,0.0,0.0,20,0,0.0,0.0,0,,0.0,0.26425517,0.20439385,1.0
DB00003,DB00007,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.0,0.0,0.0,0.08888889
DB00003,DB00013,0,0.0,0.0,0.0,20,0,0.0,0.0,0,,0.0,0.0,0.0,0.11904762
DB00003,DB00024,1,0.1666666666666666,0.1666666666666666,0.5581106265512472,12,2,0.1666666666666666,1000.0,0,,0.0,0.0,0.25483638,0.20454545
DB00003,DB00026,2,0.45,0.3333333333333333,1.3426824550040934,16,2,0.0,0.0,0,,0.0,0.0,0.15462334,0.13157895
DB00003,DB00023,1,0.25,0.1428571428571428,0.7213475204444817,16,2,0.25,1000.0,0,,0.0,0.23200075,0.0,0.08888889
DB00003,DB00038,1,0.125,0.25,0.4808983469629878,4,1,0.0,0.0,0,,0.0,0.0,0.0,0.102564104
DB00003,DB00035,0,0.0,0.0,0.0,16,0,0.0,0.0,0,,0.5850898,0.0,0.1324748,1.0
DB00003,DB00012,1,0.25,0.1666666666666666,0.7213475204444817,12,1,0.0,0.0,0,,0.0,0.0,0.0,0.14285715
DB00003,DB00018,1,0.125,0.0909090909090909,0.4808983469629878,32,1,0.0,0.0,0,,0.0,0.0,0.0,0.13157895
DB00003,DB00034,1,0.125,0.1111111111111111,0.4808983469629878,24,1,0.0,0.0,0,,0.0,0.0,0.0,0.13157895
DB00003,DB00036,1,0.125,0.2,0.4808983469629878,8,1,0.0,0.0,0,,0.0,0.0,0.09570751,0.14285715
DB00003,DB00037,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,1.0,0.0,0.0,0.11904762
DB00009,DB00011,1,0.1666666666666666,0.1428571428571428,0.5581106265512472,15,1,0.0,0.0,0,,0.6339077,0.16626182,0.0,0.19354838
DB00009,DB00014,2,0.2916666666666666,0.3333333333333333,1.039008973514235,15,2,0.0,0.0,0,,0.0,0.0,0.0,0.09090909
DB00009,DB00021,1,0.1666666666666666,0.1111111111111111,0.5581106265512472,25,1,0.0,0.0,0,,0.0,0.0,0.0,0.21212122
DB00009,DB00025,1,0.1666666666666666,0.1111111111111111,0.5581106265512472,25,1,0.0,0.0,0,,0.0,0.12461125,0.0,1.0
DB00009,DB00028,1,0.1666666666666666,0.1428571428571428,0.5581106265512472,15,1,0.0,0.0,0,,0.6109811,0.0,0.0,0.4347826
DB00009,DB00029,2,0.3666666666666667,0.2857142857142857,1.179445561110859,20,2,0.0,0.0,0,,0.0,0.0,0.19033523,0.21212122
DB00009,DB00002,1,0.2,0.125,0.6213349345596119,20,1,0.0,0.0,0,,0.0,0.0,0.25360796,0.44
DB00009,DB00005,1,0.125,0.0909090909090909,0.4808983469629878,35,1,0.0,0.0,0,,0.0,0.0,0.0,0.21212122
DB00009,DB00008,0,0.0,0.0,0.0,15,0,0.0,0.0,1,test,0.0,0.2940799,0.0,0.17948718
DB00009,DB00010,0,0.0,0.0,0.0,20,0,0.0,0.0,0,,0.0,0.0,0.0,0.44
DB00009,DB00020,0,0.0,0.0,0.0,35,0,0.0,0.0,0,,0.0,0.35604912,0.43927133,0.4347826
DB00009,DB00022,0,0.0,0.0,0.0,10,0,0.0,0.0,0,,0.0,0.0,0.0,0.09090909
DB00009,DB00031,0,0.0,0.0,0.0,25,0,0.0,0.0,1,train,0.65878916,0.0,0.0,0.16666667
DB00009,DB00015,1,0.1666666666666666,0.1111111111111111,0.5581106265512472,25,1,0.0,0.0,0,,0.0,0.23632018,0.0,0.16666667
DB00009,DB00016,0,0.0,0.0,0.0,40,0,0.0,0.0,1,train,0.0,0.0,0.0,0.17948718
DB00009,DB00017,1,0.2,0.1428571428571428,0.6213349345596119,15,1,0.0,0.0,0,,0.0,0.0,0.0,1.0
DB00009,DB00027,1,0.2,0.1666666666666666,0.6213349345596119,10,2,0.2,1000.0,0,,0.0,0.0,0.41069534,0.19354838
DB00009,DB00033,0,0.0,0.0,0.0,20,0,0.0,0.0,0,,0.0,0.20222324,0.0,1.0
DB00009,DB00040,0,0.0,0.0,0.0,30,0,0.0,0.0,0,,0.0,0.24952956,0.22465697,0.17948718
DB00009,DB00004,1,0.1666666666666666,0.1,0.5581106265512472,30,1,0.0,0.0,0,,0.0,0.18684696,0.0,0.4347826
DB00009,DB00030,0,0.0,0.0,0.0,30,0,0.0,0.0,1,train,0.0,0.0,0.0,0.09090909
DB00009,DB00032,0,0.0,0.0,0.0,20,0,0.0,0.0,0,,0.0,0.0,0.0,0.17948718
DB00009,DB00039,1,0.2,0.1111111111111111,0.6213349345596119,25,1,0.0,0.0,1,test,0.0,0.0,0.0,0.16666667
DB00009,DB00006,0,0.0,0.0,0.0,10,0,0.0,0.0,0,,0.0,0.0,0.23143084,0.09090909
DB00009,DB00019,0,0.0,0.0,0.0,25,0,0.0,0.0,0,,0.0,0.0,0.0,0.19354838
DB00009,DB00007,1,0.2,0.1428571428571428,0.6213349345596119,15,2,0.2,1000.0,0,,0.0,0.26974526,0.0,0.16666667
DB00009,DB00013,0,0.0,0.0,0.0,25,0,0.0,0.0,1,train,0.0,0.099562205,0.0,0.21212122
DB00009,DB00024,0,0.0,0.0,0.0,15,0,0.0,0.0,1,test,0.0,0.0,0.0,0.17948718
DB00009,DB00026,0,0.0,0.0,0.0,20,0,0.0,0.0,0,,0.0,0.0,0.0,0.44
DB00009,DB00023,1,0.1666666666666666,0.125,0.5581106265512472,20,1,0.0,0.0,1,test,0.0,0.0,0.0,0.16666667
DB00009,DB00038,1,0.125,0.2,0.4808983469629878,5,1,0.0,0.0,0,,0.0,0.0,0.2864015,0.09090909
DB00009,DB00035,0,0.0,0.0,0.0,20,0,0.0,0.0,0,,0.0,0.17039777,0.47433102,0.19354838
DB00009,DB00012,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.0,0.0,0.0,0.4347826
DB00009,DB00018,3,0.525,0.3,1.7235682160822114,40,3,0.0,0.0,0,,0.0,0.0,0.0,0.44
DB00009,DB00034,2,0.2916666666666666,0.2222222222222222,1.039008973514235,30,2,0.0,0.0,0,,0.0,0.22248417,0.0,0.44
DB00009,DB00036,1,0.125,0.1666666666666666,0.4808983469629878,10,1,0.0,0.0,0,,0.0,0.1158045,0.0,0.4347826
DB00009,DB00037,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.0,0.0,0.16295552,0.21212122
DB00011,DB00014,1,0.1666666666666666,0.2,0.5581106265512472,9,2,0.1666666666666666,1000.0,0,,0.0,0.0,0.10029425,0.102564104
DB00011,DB00021,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.0,0.0,0.0,0.11904762
DB00011,DB00025,1,0.1666666666666666,0.1428571428571428,0.5581106265512472,15,2,0.1666666666666666,1000.0,1,train,0.0,0.18454804,0.4223209,0.19354838
DB00011,DB00028,1,0.1666666666666666,0.2,0.5581106265512472,9,1,0.0,0.0,0,,0.38730562,0.0,0.0,0.14285715
DB00011,DB00029,1,0.1666666666666666,0.1666666666666666,0.5581106265512472,12,1,0.0,0.0,0,,0.0,0.24182147,0.0,0.11904762
DB00011,DB00002,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.0,0.0,0.0,0.13157895
DB00011,DB00005,1,0.2,0.1111111111111111,0.6213349345596119,21,1,0.0,0.0,0,,0.28663954,0.0,0.0,0.11904762
DB00011,DB00008,1,0.1428571428571428,0.2,0.5138983423697507,9,1,0.0,0.0,0,,0.22604601,0.0,0.0,0.20454545
DB00011,DB00010,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.3005888,0.0,0.15767257,0.13157895
DB00011,DB00020,0,0.0,0.0,0.0,21,0,0.0,0.0,1,train,0.0,0.16434315,0.0,0.14285715
DB00011,DB00022,0,0.0,0.0,0.0,6,0,0.0,0.0,1,test,0.0,0.12658076,0.17553546,0.102564104
DB00011,DB00031,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.62163943,0.0,0.0,0.08888889
DB00011,DB00015,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.23475862,0.0,0.0,0.08888889
DB00011,DB00016,0,0.0,0.0,0.0,24,0,0.0,0.0,0,,0.0,0.0,0.0,0.20454545
DB00011,DB00017,1,0.1428571428571428,0.2,0.5138983423697507,9,1,0.0,0.0,0,,0.0,0.161446,0.0,0.19354838
DB00011,DB00027,0,0.0,0.0,0.0,6,0,0.0,0.0,0,,0.3005888,0.0,0.14967869,1.0
DB00011,DB00033,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.0,0.29949063,0.15030377,0.19354838
DB00011,DB00040,1,0.1428571428571428,0.125,0.5138983423697507,18,1,0.0,0.0,0,,0.0,0.0,0.0,0.20454545
DB00011,DB00004,1,0.2,0.125,0.6213349345596119,18,1,0.0,0.0,0,,0.0,0.0,0.0,0.14285715
DB00011,DB00030,0,0.0,0.0,0.0,18,0,0.0,0.0,0,,0.0,0.0,0.39741415,0.102564104
DB00011,DB00032,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.47045636,0.2168522,0.0,0.20454545
DB00011,DB00039,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.0,0.1540782,0.13765888,0.08888889
DB00011,DB00006,0,0.0,0.0,0.0,6,0,0.0,0.0,0,,0.0,0.0,0.0,0.102564104
DB00011,DB00019,1,0.1428571428571428,0.1428571428571428,0.5138983423697507,15,1,0.0,0.0,0,,0.0,0.0,0.0,1.0
DB00011,DB00007,0,0.0,0.0,0.0,9,0,0.0,0.0,0,,0.0,0.0,0.0,0.08888889
DB00011,DB00013,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.0,0.14745064,0.0,0.11904762
DB00011,DB00024,0,0.0,0.0,0.0,9,0,0.0,0.0,0,,0.0,0.0,0.11715733,0.20454545
DB00011,DB00026,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.6339077,0.0,0.18862383,0.13157895
DB00011,DB00023,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.0,0.0,0.27168456,0.08888889
DB00011,DB00038,0,0.0,0.0,0.0,3,0,0.0,0.0,0,,0.0,0.17956318,0.0,0.102564104
DB00011,DB00035,0,0.0,0.0,0.0,12,0,0.0,0.0,1,test,0.21993105,0.0,0.0,1.0
DB00011,DB00012,1,0.2,0.2,0.6213349345596119,9,2,0.2,1000.0,0,,0.42115816,0.0,0.15028475,0.14285715
DB00011,DB00018,1,0.1428571428571428,0.1,0.5138983423697507,24,1,0.0,0.0,0,,0.0,0.0,0.23102412,0.13157895
DB00011,DB00034,1,0.1428571428571428,0.125,0.5138983423697507,18,1,0.0,0.0,0,,0.0,0.0,0.0,0.13157895
DB00011,DB00036,0,0.0,0.0,0.0,6,0,0.0,0.0,0,,0.0,0.5502855,0.0,0.14285715
DB00011,DB00037,0,0.0,0.0,0.0,9,0,0.0,0.0,0,,0.0,0.0,0.07081768,0.11904762
DB00014,DB00021,0,0.0,0.0,0.0,15,0,0.0,0.0,1,test,0.0,0.33462405,0.0,0.15
DB00014,DB00025,2,0.5,0.3333333333333333,1.4683498531780843,15,4,0.5,2000.0,0,,0.0,0.20668374,0.0,0.09090909
DB00014,DB00028,1,0.1666666666666666,0.2,0.5581106265512472,9,1,0.0,0.0,0,,0.0,0.0,0.0,0.083333336
DB00014,DB00029,1,0.1666666666666666,0.1666666666666666,0.5581106265512472,12,1,0.0,0.0,0,,0.0,0.0,0.0,0.15
DB00014,DB00002,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.0,0.0,0.0,0.07692308
DB00014,DB00005,1,0.125,0.1111111111111111,0.4808983469629878,21,1,0.0,0.0,0,,0.0,0.0,0.0,0.15
DB00014,DB00008,0,0.0,0.0,0.0,9,0,0.0,0.0,0,,0.6591508,0.0,0.0,0.13043478
DB00014,DB00010,0,0.0,0.0,0.0,12,0,0.0,0.0,1,test,0.0,0.0,0.0,0.07692308
DB00014,DB00020,0,0.0,0.0,0.0,21,0,0.0,0.0,0,,0.0,0.0,0.12885442,0.083333336
DB00014,DB00022,0,0.0,0.0,0.0,6,0,0.0,0.0,0,,0.0,0.0,0.20812915,1.0
DB00014,DB00031,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.5949459,0.0,0.0,0.06666667
DB00014,DB00015,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.0,0.0,0.0,0.06666667
DB00014,DB00016,0,0.0,0.0,0.0,24,0,0.0,0.0,1,train,0.0,0.3301809,0.0,0.13043478
DB00014,DB00017,0,0.0,0.0,0.0,9,0,0.0,0.0,0,,0.0,0.0,0.0,0.09090909
DB00014,DB00027,0,0.0,0.0,0.0,6,0,0.0,0.0,0,,0.0,0.0,0.0,0.102564104
DB00014,DB00033,1,0.3333333333333333,0.1666666666666666,0.9102392266268372,12,1,0.0,0.0,0,,0.0,0.0,0.0,0.09090909
DB00014,DB00040,0,0.0,0.0,0.0,18,0,0.0,0.0,0,,0.0,0.0,0.0,0.13043478
DB00014,DB00004,0,0.0,0.0,0.0,18,0,0.0,0.0,0,,0.0,0.22471958,0.0,0.083333336
DB00014,DB00030,0,0.0,0.0,0.0,18,0,0.0,0.0,0,,0.0,0.0,0.0,1.0
DB00014,DB00032,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.0,0.0,0.2255078,0.13043478
DB00014,DB00039,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.0,0.0,0.0,0.06666667
DB00014,DB00006,0,0.0,0.0,0.0,6,0,0.0,0.0,0,,0.0,0.0,0.0,1.0
DB00014,DB00019,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.0,0.0,0.0,0.102564104
DB00014,DB00007,0,0.0,0.0,0.0,9,0,0.0,0.0,0,,0.0,0.0,0.1918776,0.06666667
DB00014,DB00013,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.0,0.0,0.0,0.15
DB00014,DB00024,0,0.0,0.0,0.0,9,0,0.0,0.0,0,,0.0,0.0,0.13891129,0.13043478
DB00014,DB00026,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.0,0.0,0.18614902,0.07692308
DB00014,DB00023,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.0,0.17636268,0.0,0.06666667
DB00014,DB00038,1,0.125,0.3333333333333333,0.4808983469629878,3,1,0.0,0.0,0,,0.0,0.0,0.0,1.0
DB00014,DB00035,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.6413195,0.0,0.15948467,0.102564104
DB00014,DB00012,0,0.0,0.0,0.0,9,0,0.0,0.0,1,train,0.0,0.29793102,0.17818984,0.083333336
DB00014,DB00018,1,0.125,0.1,0.4808983469629878,24,1,0.0,0.0,1,test,0.0,0.0,0.31030312,0.07692308
DB00014,DB00034,1,0.125,0.125,0.4808983469629878,18,1,0.0,0.0,0,,0.0,0.0,0.0,0.07692308
DB00014,DB00036,1,0.125,0.25,0.4808983469629878,6,1,0.0,0.0,0,,1.0,0.0,0.11522103,0.083333336
DB00014,DB00037,0,0.0,0.0,0.0,9,0,0.0,0.0,0,,0.0,0.0,0.08396722,0.15
DB00021,DB00025,1,0.1428571428571428,0.1111111111111111,0.5138983423697507,25,1,0.0,0.0,0,,0.49903703,0.0,0.0,0.21212122
DB00021,DB00028,1,0.125,0.1428571428571428,0.4808983469629878,15,1,0.0,0.0,0,,0.0,0.0,0.0,0.3030303
DB00021,DB00029,0,0.0,0.0,0.0,20,0,0.0,0.0,0,,0.0,0.0,0.14495799,1.0
DB00021,DB00002,1,0.1428571428571428,0.125,0.5138983423697507,20,1,0.0,0.0,0,,0.50107354,0.0,0.0,0.4375
DB00021,DB00005,0,0.0,0.0,0.0,35,0,0.0,0.0,1,train,0.0,0.0,0.0,1.0
DB00021,DB00008,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.0,0.0,0.45741743,0.33333334
DB00021,DB00010,1,0.1428571428571428,0.125,0.5138983423697507,20,1,0.0,0.0,0,,0.0,0.0,0.37547287,0.4375
DB00021,DB00020,2,0.2916666666666666,0.2,1.039008973514235,35,2,0.0,0.0,0,,1.0,0.0,0.0,0.3030303
DB00021,DB00022,0,0.0,0.0,0.0,10,0,0.0,0.0,0,,0.0,0.0,0.30762044,0.15
DB00021,DB00031,1,0.125,0.1111111111111111,0.4808983469629878,25,1,0.0,0.0,0,,0.0,0.31534135,0.20925084,0.04
DB00021,DB00015,1,0.1666666666666666,0.1111111111111111,0.5581106265512472,25,2,0.1666666666666666,1000.0,1,train,0.0,0.0,0.0,0.04
DB00021,DB00016,2,0.2678571428571428,0.1818181818181818,0.9947966893327386,40,2,0.0,0.0,0,,0.0,0.0,0.0,0.33333334
DB00021,DB00017,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.44572815,0.0,0.0,0.21212122
DB00021,DB00027,0,0.0,0.0,0.0,10,0,0.0,0.0,0,,0.0,0.0,0.122580245,0.11904762
DB00021,DB00033,0,0.0,0.0,0.0,20,0,0.0,0.0,0,,0.0,0.0,0.18505731,0.21212122
DB00021,DB00040,0,0.0,0.0,0.0,30,0,0.0,0.0,1,train,0.0,0.0,0.0,0.33333334
DB00021,DB00004,2,0.3666666666666667,0.2222222222222222,1.179445561110859,30,4,0.3666666666666667,2000.0,0,,0.0,0.3357792,0.0,0.3030303
DB00021,DB00030,1,0.2,0.1,0.6213349345596119,30,2,0.2,1000.0,1,train,0.0,0.0,0.0,0.15
DB00021,DB00032,1,0.1428571428571428,0.125,0.5138983423697507,20,1,0.0,0.0,1,test,0.0,0.0,0.1557593,0.33333334
DB00021,DB00039,2,0.3095238095238095,0.25,1.072008968920998,25,2,0.0,0.0,0,,0.0,0.0,0.0,0.04
DB00021,DB00006,1,0.1666666666666666,0.1666666666666666,0.5581106265512472,10,1,0.0,0.0,0,,0.0,0.36186507,0.0,0.15
DB00021,DB00019,0,0.0,0.0,0.0,25,0,0.0,0.0,0,,0.0,0.0,0.2083934,0.11904762
DB00021,DB00007,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.0,0.0,0.11030949,0.04
DB00021,DB00013,1,0.125,0.1111111111111111,0.4808983469629878,25,1,0.0,0.0,0,,0.0,0.0,0.0,1.0
DB00021,DB00024,1,0.1666666666666666,0.1428571428571428,0.5581106265512472,15,1,0.0,0.0,0,,0.54370004,0.0,0.259823,0.33333334
DB00021,DB00026,1,0.2,0.125,0.6213349345596119,20,2,0.2,1000.0,0,,0.0,0.0,0.0,0.4375
DB00021,DB00023,1,0.1666666666666666,0.125,0.5581106265512472,20,1,0.0,0.0,0,,0.0,0.0,0.0,0.04
DB00021,DB00038,0,0.0,0.0,0.0,5,0,0.0,0.0,0,,0.0,0.0,0.0,0.15
DB00021,DB00035,1,0.125,0.125,0.4808983469629878,20,1,0.0,0.0,0,,0.0,0.0,0.0,0.11904762
DB00021,DB00012,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.0,0.0,0.0,0.3030303
DB00021,DB00018,0,0.0,0.0,0.0,40,0,0.0,0.0,1,train,0.65020853,0.0,0.11340923,0.4375
DB00021,DB00034,2,0.2916666666666666,0.2222222222222222,1.039008973514235,30,2,0.0,0.0,0,,1.0,0.0,0.15263166,0.4375
DB00021,DB00036,0,0.0,0.0,0.0,10,0,0.0,0.0,0,,0.0,0.0,0.0,0.3030303
DB00021,DB00037,0,0.0,0.0,0.0,15,0,0.0,0.0,0,,0.0,0.0,0.0,1.0
DB00025,DB00028,1,0.1666666666666666,0.1428571428571428,0.5581106265512472,15,1,0.0,0.0,0,,0.0,0.13458046,0.0,0.4347826
